fname,bni,name_freq
"",,1
21,0,1
4ROY,0,1
A,0.530238232992305,9111
A   C,1,1
A A,0,2
A AARON,0,1
A ABBOT,0,1
A ABBOTT,0,1
A ACE,0,1
A ACEY,0,1
A ACHILLE,0,1
A ADDIS,0,1
A ADOLF,0,1
A ADRIEN,0,1
A ALAN,0,1
A ALBERT,0,9
A ALDEN,0,1
A ALDRIDGE,0,1
A ALFRED,0,2
A ALISON,0,1
A ALLAN,0,3
A ALLEN,0,7
A ALLISTER,0,1
A ALMON,0,1
A ALONZO,0,1
A ALPHONSE,0,1
A ALTON,0,1
A ALVIN,0,2
A ANDERSON,1,1
A ANDREW,0,4
A ANSON,0,1
A ANTHES,0,1
A ANTHONY,0,4
A ANTON,0,1
A ARCHIE,0,1
A ARNOLD,0,4
A ARTHUR,0,9
A ATLEY,0,1
A AUGUST,0,1
A AUSTIN,0,1
A B,0,1
A B THOMAS,1,1
A BAILEY,0,1
A BARDE,0,1
A BARLOW,0,1
A BARNARD,0,1
A BARR,0,1
A BARRIE,0,1
A BARTH,0,1
A BARTON,0,2
A BATES,0,1
A BEN,0,5
A BENEDICT,0,2
A BENJAMIN,0,2
A BENNETT,0,1
A BENNIE,0,1
A BENOY,0,1
A BENTON,0,2
A BERKELEY,0,1
A BERNARD,0,6
A BERNARDO,0,1
A BERNARR,0,1
A BERT,0,2
A BERTRAM,0,2
A BLAIR,0,4
A BLANCHAR,0,1
A BLOND,0,1
A BOLO,0,1
A BOND,0,1
A BOYD,0,3
A BRADFORD,0,1
A BRADY,0,1
A BRAINARD,0,1
A BRANDON,0,1
A BRENT,0,1
A BRICE,0,2
A BROOKE,0,1
A BROOKS,0,3
A BROUGH,0,1
A BROWN,0,1
A BRUCE,0,9
A BRUNSWIC,0,1
A BRYAN,0,2
A BUDD,0,1
A BURDETTE,0,2
A BURGESS,0,1
A BURGEST,0,1
A BURK,0,1
A BURKE,0,1
A BURL,0,1
A BURNETT,0,1
A BURNS,0,1
A BURT,0,3
A BURTON,0,4
A BURTUS,0,1
A BUSTER,0,1
A BYRAN,0,1
A BYRON,0,3
A C,0,2
A C COLEMA,0,1
A C MARTIN,0,1
A CABOT,0,1
A CALDEN,0,1
A CALVIN,0,1
A CAMPBELL,0,2
A CANCELMO,0,1
A CARL,0,14
A CARLISLE,0,1
A CARLTON,0,1
A CARROLL,0,1
A CARTER,0.914078734338459,2
A CARVER,0,1
A CECIL,0,4
A CHAPMAN,0,1
A CHARLES,0.541717979142307,10
A CHEN,,1
A CHESTER,0,4
A CHIEAN,,1
A CLAIR,0,2
A CLARENCE,0,3
A CLARK,0.726749121361167,6
A CLARKE,0,1
A CLARKSON,0,1
A CLAYTON,0,4
A CLEMENT,0,1
A CLIFFORD,0,10
A CLIFTON,0,1
A CLINTON,0,6
A CLYDE,0,7
A CLYN,0,1
A COBB,0,1
A COLE,0,1
A CONN,0,1
A CONRAD,0,2
A COOKE,0,1
A COOPER,0,1
A COY,0,1
A CRAIG,,1
A CRICHTON,0,1
A CURT,0,1
A CURTIS,0,6
A D,1,1
A DALE,0,17
A DAMON,0,1
A DANA,0,1
A DANIEL,0,2
A DARRELL,0,1
A DAVE,0,1
A DAVID,0,9
A DAVIS,0,1
A DAYTON,0,1
A DEAN,0,16
A DELBERT,0,2
A DELMAR,0,1
A DERMONT,0,1
A DERWOOD,0,1
A DEVERE,0,1
A DEWITT,0,3
A DICKSON,0,1
A DIDRIK,0,1
A DON,0,3
A DONALD,0,12
A DONOVAN,0,1
A DOUGAL,0,1
A DOUGLAS,0,6
A DOYLE,0,2
A DOYT,0,1
A DREXEL,0,1
A DUANE,0,1
A DUBON,0,1
A DUDLEY,0,3
A DUNCAN,0,1
A DUONG,,1
A DWIGHT,0,3
A E VERNO,0,1
A EARL,0,18
A EARLE,0,2
A ED,0,1
A EDGAR,0,2
A EDISON,0,2
A EDMOND,0,1
A EDMUND,0,2
A EDWARD,0,29
A EDWIN,0,5
A EGAN,0,1
A ELDEN,0,1
A ELDON,0,1
A ELLIOTT,0,1
A ELMO,0,1
A ELWOOD,0,4
A EMERSON,0,1
A EMMET,0,1
A EMORY,0,1
A ENNIS,0,1
A ERIC,0,1
A ERIK,0,1
A ERNEST,0,3
A ERVIN,0,1
A ERVINE,0,1
A EUGENE,0,27
A EVAN,0,2
A EVERETT,0,3
A EVERT,0,1
A F,0,1
A FABIAN,0,1
A FARLEY,0,1
A FISHER,0,1
A FITCH,0,1
A FLETCHER,0,1
A FLOYD,0,4
A FORD,0,1
A FOREST,0,1
A FORREST,0,1
A FOSTER,0,1
A FRANCIS,0,7
A FRANK,0,24
A FRANKLIN,0,2
A FRED,0,10
A FREDERIC,0,3
A FULLMER,0,1
A G,0,2
A G HARRIS,0,1
A GALE,0,2
A GARDNER,0,1
A GARLAND,0,1
A GARNELL,0,1
A GARNER,0,1
A GAROLD,0,1
A GARR,0,1
A GARTH,0,2
A GENE,0,2
A GEO,0,1
A GEORGE,0,25
A GERALD,0,5
A GERARD,0,2
A GILBERT,0,4
A GLEN,0,4
A GLENN,0,8
A GLENWOOD,0,1
A GORDON,0,25
A GORIN,0,1
A GRADY,0,1
A GRAHAM,0,3
A GRANT,0,6
A GRAY,0,2
A GREENLEE,0,1
A GREGORY,0,1
A GREIG,0,1
A GROH,0,1
A GUS,0,1
A GUY,0,1
A H,0,2
A H DECKER,0,1
A H TONY,0,1
A HAL,0,1
A HALE,0,1
A HARKER,0,1
A HARLAND,0,2
A HARLEY,0,1
A HAROLD,0,16
A HARPER,0,1
A HARRIS,0,1
A HARRISON,0,1
A HARRY,0,5
A HARVEY,0,6
A HASTINGS,0,1
A HECTOR,0,1
A HENRY,0,11
A HERBERT,0,3
A HERMAN,0,2
A HERREL,0,1
A HOLLIS,0,2
A HOMER,0,1
A HORACE,0.841754152205137,3
A HOUSTON,0,1
A HOWARD,0,10
A HUBERT,0,1
A HUGH,0,1
A HUNTER,0,1
A INMAN,0,1
A IRA,0,1
A IRVING,0,1
A IVAN,0,1
A IVY,0,1
A J,0.841754152205137,3
A J DREXEL,0,1
A J QUINTO,0,1
A JACK,0,10
A JACKSON,0,2
A JACOB,0,1
A JACOBS,0,1
A JAMES,0,21
A JARVIS,0,1
A JAY,0,7
A JEFF,0,1
A JEFFERS,1,1
A JEROME,0,1
A JERRY,0,1
A JIM,0,2
A JOE,0,2
A JOHN,0,36
A JOSEPH,0,15
A JUDSON,0,2
A JULES,0,1
A JULIAN,0,3
A JULIUS,0,1
A JUNIOR,0,1
A KARL,0,1
A KAY,0,2
A KEITH,0,15
A KENNETH,0,20
A KENT,0,2
A KERMIT,0,1
A KIP,0,1
A KIRK,0,2
A KURTZ,0,1
A KYLE,0,6
A L BUD,0,1
