fname_std,bni_std,N
AAGE,0,98
AARNE,0,34
AARO,0.718225303139694,23
AARON,0.741983985021032,12676
AART,0,21
ABA,0,21
ABAD,0.519991685933845,23
ABBAS,0.316448491010894,83
ABBEY,0,22
ABBIE,0.684203329196995,104
ABBOT,0.579056468792344,25
ABBOTT,0.0979623918807891,135
ABBY,0.482366451057073,35
ABDALLA,0.357135209581301,14
ABDALLAH,0.310997647139251,51
ABDEL,0.295716447529683,91
ABDI,0.987568651845265,12
ABDO,0.159700689635129,39
ABDOL,0.396333493971774,12
ABDOLLAH,0,16
ABDON,0.196666446945426,122
ABDOU,0.804948330610183,11
ABDUL,0.889766185415222,288
ABDULLA,0.679909068789545,22
ABDULLAH,0.921214756312417,110
ABDUR,0.973053018825226,12
ABED,0,26
ABEL,0.362253451095966,1536
ABELARDO,0.104899030915972,501
ABELE,0,14
ABELINO,0.064933042459132,105
ABELL,0.98060281470747,24
ABENICIO,0,16
ABIE,0.811672262376645,99
ABIGAIL,0.231310803286126,25
ABIJAH,0.643556715548376,25
ABILIO,0.225884705388164,103
ABIMAEL,0.706514832391203,16
ABNER,0.66911027231156,928
ABNEY,0.706514832391203,12
ABRAHAM,0.632245024216405,10724
ABRAM,0.950638290716757,22
ABRAN,0.165179650683375,75
ABRON,0.979314953445657,68
ABSALOM,0.681513084656455,35
ABSALON,0.783126872909466,12
ABU,0.979141845798959,15
ABUNDIO,0,71
AC,0.893188577373394,41
ACACIO,0.184130973300599,33
ACCIE,0.919020657329337,18
ACCURSIO,0,34
ACE,0.636801253337586,215
ACEL,0.294110731631288,55
ACENCION,0,16
ACEY,0.804269222149494,91
ACHIEL,0,14
ACHILLES,0.210474299887211,309
ACHIM,0,13
ACIE,0.859860534624777,455
ACIL,0,17
ACISCLO,0.689648043097898,17
ACLE,0,13
ACTON,0.238964530493981,24
ACY,0.766503472410719,96
AD,0.854394238389323,29
ADA,0.706514832391203,24
ADAIR,0.5545992804614,68
ADALBERTO,0.233387218021592,445
ADAM,0.425614835787445,9618
ADAMO,0,24
ADAN,0.0867797367176462,462
ADD,0.894492269269425,50
ADDIS,0.803030382650509,97
ADDISON,0.646059798990816,798
ADE,0.783126872909466,21
ADEEB,0,16
ADEL,0.585267338544973,104
ADELAIDE,0.830089694052452,171
ADELAIDO,0.0911613356073579,73
ADELARD,0,293
ADELBERT,0.179910940097391,848
ADELFO,0,12
ADELINO,0.126209918778969,153
ADELIO,0,18
ADELL,0.979292778605246,234
ADELMO,0.124042182209614,52
