fname_std,bni_root,n_fname_root
1EARL,0,1
1PEARL,0,1
21,0,1
4ROY,0,1
A-LOUISE,0,1
A6FRED,1,1
AA,0,1
AABRAAM,0,1
AAD,0,1
AADAM,0,1
AADNE,0,3
AAFJE,0,3
AAFKE,0,4
AAFLIE,0,1
AAFTON,0,1
AAG,0,1
AAGE,0,50
AAGJE,0,1
AAGNES,0,1
AAGOR,0,1
AAGOT,0,32
AAGOTH,0,1
AAHIRAH,1,1
AAHMES,0,1
AAITA,0,1
AAKE,0,5
AAL,0,1
AALBERT,0,2
AALBERTUS,0,1
AALDERT,0,1
AALE,0,4
AALEEN,0,2
AALGA,0,1
AALIYAH,1,1
AALKE,0,1
AALT,0,3
AALTIEN,0,1
AALTJE,0,10
AALYIAH,1,1
AAMON,0,1
AANA,0,1
AANDRIA,0,1
AANE,0,1
AANEN,0,2
AANGELO,0,1
AANNE,0,1
AANON,0,1
AANUND,0,1
AAPKO,0,1
AARA,0.839280602464756,3
AARALVETIA,1,1
AARAM,0,1
AARDACHES,0,1
AAREIN,0,1
AAREN,0,1
AAREND,0,1
AARETTA,0,1
AARIA,0,1
AARIE,0.91261833712601,2
AARION,0,1
AARLEA,0,1
AARNE,0,23
AARNI,0,1
AARNO,0,2
AARO,0.510860095421192,11
AAROL,0,1
AAROM,0,1
AARON,0.737300545633558,3607
AARONA,0,2
AARONETTA,0,1
AARONETTE,0.839280602464756,3
AARONJ,0,1
AARRAN,0,1
AARRE,0,1
AARROA,0,1
AART,0,8
AARTJE,0,3
AARTO,0,1
AASALEE,0,1
AASE,0,18
AASHILD,0,2
AASINE,0,1
AASMUND,0,2
AASTA,0,11
AASTE,0,1
AATE,0,2
AATOS,0,5
AATRICE,1,1
AAUDREY,0,1
AAVA,0,1
AAZAM,0,1
AAZEL,0,1
ABA,0,13
ABAD,0,12
ABADE,0,2
ABADEE,0,1
ABADESA,0,4
ABAFFI,0,1
ABAHAM,0,1
ABAITA,0,2
ABAKHAY,0,1
ABALEAN,0,1
ABALEEN,0,1
ABALENA,0,1
ABALENE,1,1
ABALINE,0.91261833712601,2
ABANITTA,1,1
ABAS,0,2
ABASTASIA,0,1
ABAY,0.91261833712601,2
ABAZ,0,1
ABB,0,1
ABBA,0,4
ABBAGAIL,0,1
ABBAGLE,1,1
ABBALINE,0,1
ABBAN,0,1
ABBAS,0.537133435142353,20
ABBASALI,0,1
ABBASGHOLI,0,1
ABBE,0,5
ABBEE,0,1
ABBEFORD,0,1
ABBELINE,0,1
ABBEN,0,1
ABBERLAE,0,1
ABBEY,0,14
ABBI,0,2
ABBIE,0.787503178481837,42
ABBIEDEEN,0,1
ABBIEGILL,1,1
ABBIEJEAN,0,1
ABBIELENA,0,1
ABBIETEEN,1,1
ABBIGALE,0,1
ABBIS,1,1
ABBISON,0,1
ABBIT,0,1
ABBITT,0,2
ABBLENA,0,1
ABBO,0,3
ABBON,0,1
ABBONDANZA,0,3
ABBOT,0,11
ABBOTT,0,70
ABBOTTE,0,1
ABBOUDI,0,1
ABBUD,0,1
ABBY,0,9
ABBYE,0.635126352878105,7
ABCA,0,1
ABD,0,1
ABDA,0,1
ABDAL,0,1
ABDALLA,0,4
ABDALLAH,0,11
ABDALLH,0,1
ABDEL,0,20
ABDELAZIZ,0,3
ABDELBASET,0,1
ABDELGHAFF,0,1
ABDELHAFET,0,1
ABDELHAMID,0,1
ABDELHARI,0,1
ABDELKADER,0,2
ABDELLA,0.91261833712601,2
ABDELNOR,0,1
ABDELSALAM,0,1
ABDELWAHAB,0,1
ABDEN,0,4
ABDENAGO,0,1
ABDERAUF,0,1
ABDI,0,1
ABDISHOU,0,1
ABDO,0,11
ABDOL,0,3
ABDOLAH,0,1
ABDOLALI,0,1
ABDOLBAGHI,0,1
ABDOLE,0,1
ABDOLHAMID,0,1
ABDOLHOSSE,0,2
ABDOLKARIM,0,2
ABDOLLAH,0,10
ABDOLRAHIM,0,1
ABDOLRAHMA,0,2
ABDOLSHAKO,0,1
ABDOLVAHAB,0,1
ABDON,0.380557867965008,36
ABDONA,0,1
ABDOO,0,1
ABDORAHMAN,0,1
ABDOU,0,2
ABDOUL,0,1
ABDOULAH,0,1
ABDOULYE,1,1
ABDU,0,3
ABDUAL,0,1
ABDUL,0.755771899469457,35
ABDULAH,0,1
ABDULAZIA,0,1
ABDULGHAFF,0,1
ABDULGHASE,0,1
ABDULHAKI,0,1
ABDULKERIM,0,1
ABDULLA,0,3
ABDULLAH,0.616384481721839,15
ABDULLATIF,0,1
ABDULMAJED,0,1
ABDULMASI,0,1
ABDULMASSI,0,1
ABDULMESIH,0,1
ABDULMOHAM,1,1
ABDULRAHEM,0,1
ABDULRAHIM,0,1
ABDULRAS,0,1
ABDULREHMA,0,1
ABDULVAHAP,0,1
ABDULWAHAB,0,1
ABDURRAHM,0,1
ABDURRAHMA,0,3
ABDUS,1,1
ABEBE,1,1
ABED,0,4
ABEDELL,0,1
ABEDENAGO,0,1
ABEDNEGO,0.91261833712601,2
ABEDON,0,3
ABEE,0,1
ABEL,0.469917133988367,409
ABELAIDA,0,1
ABELARDA,0,3
ABELARDO,0,130
ABELE,0,5
ABELENA,0,1
ABELENE,0,2
ABELES,0,1
ABELIA,0,4
ABELICIO,0,3
ABELINA,0,26
ABELINE,0,1
ABELINO,0.271668802012772,29
ABELIO,0,1
ABELISA,0,1
ABELIZARIO,0,1
ABELL,0.994399291120173,18
ABELLE,0.939997862569105,5
ABEN,0,1
ABENA,0.954313068541791,3
ABENANCIA,0,1
ABENER,1,1
ABENEZER,1,1
ABENICIA,0,1
ABENICIO,0,2
ABENISE,0,1
ABENISIO,0,1
ABER,0.91261833712601,4
ABERDEEN,0.904712806183242,21
ABERHART,0,1
ABERLARDO,0,1
ABERLENA,1,1
ABERNATHY,0.91261833712601,2
ABERNETHY,0,1
ABERT,0,1
ABERTEEN,1,3
ABERTRAND,0,1
ABESH,0,1
ABESHAG,0,1
ABEUS,1,1
ABI,0,2
ABIA,0,2
ABIATHA,0,1
ABIDA,0,1
ABIDAM,0,1
ABIE,0.852989803192029,28
ABIEF,0,1
ABIEFOY,0,1
ABIEL,0,1
ABIEZER,0,1
ABIFE,0,2
ABIG,0,1
ABIGAEL,0,1
ABIGAIL,0.643398822566601,1188
ABIGAILE,0,1
ABIGAL,0,1
ABIGNIL,0,1
ABIHU,0,1
ABIJAH,0.776852934649573,12
ABILENE,0.598717009722856,16
ABILIA,0,4
ABILINA,0,1
ABILINO,0,1
ABILIO,0.402560478656665,33
ABIMELECK,0,1
ABIMLISH,1,1
ABINA,0,6
ABIOUSE,1,1
ABIRDIA,1,1
ABIRL,1,1
ABIS,0,1
ABISHA,0,1
ABISHAI,1,1
ABIT,0,1
ABITA,0,2
ABKAR,0,1
ABLA,0,4
ABLAHAD,0,1
ABLAKE,0,1
ABLENE,0,1
ABLERT,0,4
ABLERTHA,1,1
ABLETT,0,1
ABLIE,1,1
ABLIN,0.91261833712601,2
ABLINA,0,1
ABLINE,0,1
ABLYN,0,1
ABNA,0.91261833712601,2
ABNELIA,0,1
ABNER,0.70063492842189,437
ABNES,0,1
ABNETTA,1,1
ABNEY,0.886788648226086,7
ABNILDA,0,1
ABNOR,0,1
ABNOUS,0,1
ABO,0,3
ABOBORIZ,0,1
ABODINE,0,1
ABOLEN,1,1
ABOLENE,0,1
ABOLFATH,0,1
ABOLFAZL,0,3
ABOLGHASEM,0,3
ABOLGHASSE,0,1
ABOLHASSAN,0,3
ABOLSKASEM,0,1
ABOOD,0,1
ABORDINE,0,1
ABORINDA,0,1
ABORN,1,1
ABOTALEB,0,1
ABOU,1,1
ABOUD,0,1
ABOULGHASE,0,1
ABOULOS,0,1
ABOUTORAB,0,2
ABPIE,0,1
ABRA,0,1
ABRAAM,0,2
ABRAHAM,0.547961781403803,5856
ABRAHANA,0,2
ABRAHART,1,1
ABRAHIM,0,2
ABRAHMO,0,1
"ABRAJA,",0,1
ABRAM,0.973371798823011,9
ABRAMINO,0,1
ABRAMO,0,2
ABRAMS,1,1
ABRAN,0,13
ABRANA,0,5
ABRANITA,0,1
ABREE,1,1
ABREGENE,1,1
ABRELLA,1,1
ABREM,1,1
ABREN,0.839280602464756,3
ABRENA,0,1
ABRENE,1,1
ABRETTA,0,1
ABREY,0,2
ABRIA,1,1
ABRIL,0,1
ABRILA,1,1
ABRILLA,1,1
ABRIM,1,1
ABRISIO,0,1
ABRON,0.994985883359355,20
ABROSE,0,1
ABSALOM,0.748996859458755,18
ABSALON,0.874414443087022,5
ABSELEY,0,1
ABSOLUM,0.676250695837957,6
ABSOLUME,0,1
ABSON,0.954313068541791,3
ABU,1,1
ABUBAKER,0,1
ABUBEKIR,0,1
ABUELA,0,1
ABUL,0,1
ABUNDIA,0,5
ABUNDIO,0,19
ABUNDO,0,1
ABUSH,0,1
ABY,0,4
ABYLENE,0,1
ABYNA,0,2
ABYSIUS,0,1
ABYSSINIA,1,1
AC,0.91261833712601,2
ACA,0,4
ACABE,0,1
ACABIE,0,2
ACACIA,0,16
ACACIO,0,7
ACALEE,0,1
ACALEENE,0,1
ACAPIA,0,1
ACARL,0,1
ACASIA,0,5
ACASIO,0,1
ACASITO,1,1
ACCA,0.839280602464756,3
ACCIE,0,2
ACCIOUS,0,1
ACCOLINE,0,1
ACCORSIO,0,1
ACCRA,0,1
ACCURIO,0,1
ACCURSIA,0,12
ACCURSIO,0,18
ACCURSO,0,1
ACCURZIA,0,1
ACCURZIO,0,2
ACCUSIA,0,2
ACCUSIO,0,1
ACCY,0.91261833712601,2
ACE,0.745179666874003,64
ACEA,0,1
ACEAL,0,1
ACEE,0,1
ACEIE,0,1
ACEIL,0,1
ACEL,0.252003580278357,32
ACELA,0,21
ACELIA,0,8
ACELIO,0,3
ACELLA,1,1
ACELUS,1,1
ACELYNE,1,1
ACENA,0.91261833712601,2
ACENAH,0,1
ACENALLE,0,1
ACENATH,0,1
ACENCION,0,6
ACENITH,0,5
ACENSION,0,2
ACER,1,1
ACEVIA,0,1
ACEY,0.826005098288952,32
ACHAN,0,1
ACHARLES,0,1
ACHEL,0,2
ACHER,0,1
ACHERFUL,0,1
ACHEROPIT,0,1
ACHEUINA,0,1
ACHIAZER,0,1
ACHIBALD,0,1
ACHIE,0.874414443087022,5
ACHIEL,0,8
ACHIEZER,0,1
ACHIL,0,1
ACHILE,0,1
ACHILEAS,0,5
ACHILEFS,0,1
ACHILES,0,1
ACHILLA,0,1
ACHILLE,0,1
ACHILLEAS,0,1
ACHILLEFS,0,1
ACHILLES,0.255080994318507,126
ACHILLEUS,0,1
ACHILLI,0,1
ACHIM,0,1
ACHISON,0,1
ACHKEN,0,1
ACHKHEN,0,1
ACHKHIK,0,1
ACHMED,0,1
ACHMET,0,1
ACHOT,0,1
ACHRISTINE,0,1
ACHSA,0,15
ACHSAH,0,31
ACIA,1,1
ACIANITA,0,2
ACIE,0.897343397213508,169
ACIEH,0,1
ACIEL,0,1
ACIL,0,6
ACILE,0,1
ACILLA,0,1
ACISCLA,1,1
ACISCLO,0.839280602464756,9
ACISLA,0,1
ACISOLO,0,1
ACIZ,0,1
ACK,0,1
ACKARD,0,1
ACKER,0,1
ACKEY,0,1
ACKIE,0.676250695837957,6
ACKIES,0,1
ACKLE,0,2
ACKLESS,0,1
ACKLEY,0,4
ACKLIN,1,1
ACKNEY,0,1
ACKOP,0,1
ACKRIVE,0,1
ACKY,0,1
ACLAE,0,1
ACLE,0,7
ACLID,0,1
ACLISTA,0,1
ACMORE,1,1
ACNER,0,1
ACNETA,1,1
ACNIA,0,1
ACOLA,1,1
ACORDY,1,1
ACOREE,0,1
ACOVCINIO,0,1
ACQUELINDA,0,1
ACQUILA,0,2
ACQUILINA,0,2
ACQUILINO,0,3
ACQUILLA,0.939997862569105,10
ACRA,0,1
ACRACIA,0,1
ACREAL,0,1
ACREE,0,2
ACREL,0,1
ACRIE,1,1
ACRITE,0,1
ACRIVI,0,1
ACRY,1,1
ACSHIBALD,0,1
ACTAMAN,0,1
ACTEA,0,1
ACTION,0,1
ACTIVE,1,1
ACTON,0,13
ACTOR,0,1
ACTRESS,0,1
ACUE,0.839280602464756,3
ACURCIO,0,2
ACUTO,0,1
ACY,0.710767256547205,42
ACYA,0,1
ACYE,0,1
ACYLIA,0,1
AD,0.862380823532094,8
ADA,0.603575240600277,11923
ADA-MAE,1,1
ADAALBERT,0,1
ADABEL,0,4
ADABELL,0,5
ADABELLE,0.528080443263033,31
ADABETH,0,1
ADACIE,0,1
ADADEAN,0,1
ADADELL,1,1
ADADORAS,0,1
ADAENA,0,1
ADAFAYE,0,1
ADAFE,0,1
ADAH-MARIE,0,1
ADAHBELL,0,1
ADAHILA,0,1
ADAHL,0,1
ADAHLIA,0.776852934649573,4
ADAHMAE,0,3
ADAHMARY,0,1
ADAHREA,0,1
ADAI,0,1
ADAIA,0,1
ADAID,0,1
ADAIL,0,2
ADAILA,0,1
ADAILIA,0,1
ADAIN,0,2
ADAIR,0.478118722910913,62
ADAIRE,0,2
ADAIS,0,1
ADAISE,0,1
ADAKO,1,1
ADAL,0,3
ADALA,0,11
ADALAE,0,1
ADALAIDA,0,1
ADALAINE,0,5
ADALARD,0,1
ADALAURA,0,1
ADALBERIO,0,2
ADALBERTA,0,3
ADALBERTO,0.234993187121048,70
ADALBERTUS,0,1
ADALE,0,9
ADALEA,0,1
ADALEAN,0,2
ADALEE,0.321909535845449,23
ADALEEN,0.537133435142353,10
ADALEINE,0,2
ADALEISE,0,1
ADALEN,0.91261833712601,2
ADALENA,0.776852934649573,4
ADALENE,0.243201304237644,67
ADALEVA,0,1
ADALGESA,0,1
ADALGISA,0,37
ADALGISIO,0,1
ADALGISO,0,1
ADALIA,0,24
ADALIDE,0,1
ADALIE,0.723069334627254,5
ADALINDA,0.839280602464756,3
ADALINE,0,1
ADALINEA,0,1
ADALIO,0,2
ADALIS,0,1
ADALISA,0,1
ADALIZE,0,1
ADALJISA,0,2
ADALL,0,1
ADALLA,0,2
ADALLACE,0,1
ADALLE,0,1
ADALLEE,1,1
ADALOIS,0,1
ADALOR,0,1
ADALORE,0,1
ADALOU,0,1
ADALOYD,0,1
ADALPHA,0,1
ADALPHO,0,1
ADALPHUS,1,2
ADALSSEY,0,1
ADALTHA,0,1
ADALUE,1,1
ADALYA,0,1
ADALYN,0,38
ADALYNE,0.537133435142353,10
ADALYNN,0,1
ADAM,0.48678018293871,3183
ADAMADIOS,0,1
ADAMAE,0,12
ADAMAL,0,1
ADAMANDEA,0,1
ADAMANDIA,0.723069334627254,5
ADAMANT,0,1
ADAMANTIA,0,10
ADAMANTIN,0,1
ADAMANTINE,0,2
ADAMANTINI,0,2
ADAMANTIOS,0,2
ADAMARIE,0,4
ADAMARY,0,3
ADAMASTOR,0,1
ADAMATIA,0,1
ADAMAY,0,1
ADAMINA,0,14
ADAMINE,0,2
ADAMO,0,8
ADAMORE,0,1
ADAMOS,0,2
ADAMSON,0,1
ADAN,0,74
ADANA,0,2
ADANCIA,1,1
ADANELL,0,1
ADANIA,0,1
ADANIVIA,0,1
ADAO,0,2
ADAPE,1,1
ADAPHAN,0,1
ADAPOE,0,1
ADARCISA,0,1
ADAREE,1,1
ADARENA,0,1
ADARENE,0,1
ADARGELIA,0,1
ADARIAN,0,1
ADARINE,0,2
ADARK,1,2
ADARTHUS,1,1
ADARUTH,1,1
ADAS,0,2
ADASA,0.91261833712601,2
ADASH,0,1
ADASSA,0.988173013079865,9
ADASSAH,1,1
ADASSIA,0,1
ADASSIE,0,1
ADATH,0,5
ADATHA,0,3
ADAUTO,0,1
ADAVAL,0,1
ADAVILE,0,1
ADAWNA,0,1
ADAYRE,0,1
ADAZE,0,1
ADAZELL,0,1
ADAZELLA,0,1
ADBELLAH,0,1
ADBERT,0,1
ADD,0.928851250492128,18
ADDA,0.268180864683272,118
ADDABELL,0,2
ADDAH,0,5
ADDALAIDE,0,2
ADDALANE,0,1
ADDALEE,0,3
ADDALENA,0,1
ADDALENE,0,3
ADDALETTE,0,1
ADDALMA,0,1
ADDALORE,0,1
ADDAMAE,0,1
ADDARIA,0,1
ADDARIEN,0,1
ADDAVENE,0,1
ADDAWAY,0,1
ADDE,1,1
ADDEA,0,3
ADDEAL,1,1
ADDEAN,0.886788648226086,7
ADDEANE,0,1
ADDEBELLE,0,1
ADDEE,0,1
ADDEEN,1,1
ADDEENE,0,2
ADDEL,0,1
ADDELE,0,1
ADDELEAH,0,1
ADDELEE,0,1
ADDELENE,0,2
ADDELL,0.896943061876008,11
ADDELLE,0,3
ADDELLYCE,0,1
ADDEN,0.91261833712601,2
ADDENE,0.723069334627254,5
ADDERIE,0,1
ADDERSON,0.91261833712601,2
ADDES,0,1
ADDESSA,0,1
ADDI,0.862380823532094,16
ADDIANNA,0,1
ADDIBELLE,0,1
ADDICE,0,1
ADDIEBELL,0,1
ADDIEBELLE,0,1
ADDIEBYRD,0,1
ADDIELEA,0,1
ADDIELEE,0,1
ADDIELENE,0,2
ADDIEMAE,0,2
ADDIER,0,1
ADDIES,0,1
ADDIEST,1,1
ADDIETH,0,1
ADDIEVILL,0,1
ADDILEA,0,1
ADDILEE,0,2
ADDILEN,0,1
ADDILENE,0,1
ADDILIE,0,1
ADDILINE,0.839280602464756,3
ADDILOU,0,1
ADDILUE,1,1
ADDIN,0,1
ADDINA,0,1
ADDINE,0.786604517407961,23
ADDINGTON,0,3
ADDIS,0.773655915259183,73
ADDISE,0,1
ADDISON,0.609276477254675,331
ADDIST,1,1
ADDITH,0,1
ADDITOUS,1,1
ADDLA,0,1
ADDLEANE,1,1
ADDLEE,0.969071029103385,4
ADDLEEN,0,2
ADDLENE,0,6
ADDLESS,1,1
ADDLETTE,0,1
ADDLIN,0,1
ADDLINE,0.676250695837957,12
ADDLY,1,1
ADDO,0,4
ADDOE,1,2
ADDOLORAT,0,5
ADDOLORATA,0,13
ADDOLORATO,0,4
ADDORA,0,1
ADDORETTA,0,1
ADDORIS,0,1
ADDOUL,0,1
ADDRANNA,1,1
ADDREAN,0.91261833712601,6
ADDREN,1,1
ADDRENA,1,1
ADDRENE,0,1
ADDRENIA,1,1
ADDRENNA,1,1
ADDRENNE,0,1
ADDRIAN,0,1
ADDRICK,1,1
ADDRIENNE,1,1
ADDRIS,1,1
ADDSON,0,1
ADDUIS,1,1
ADDY,0,1
ADDYE,0.826005098288952,16
ADDYLEEN,0,1
ADDYLUE,0,1
ADDYS,0,3
ADE,0.65504370157974,13
ADEA,0,4
ADEABY,0,1
ADEAL,0.933000112447838,7
ADEALIA,0.839280602464756,3
ADEALL,1,1
ADEAN,0.566255752356127,9
ADEANA,0,3
ADEANE,0,5
ADEANIA,0,1
ADEAUL,1,1
ADEBA,0,1
ADEBE,0,1
ADEBY,0,1
ADEE,0.839280602464756,12
ADEEB,0,8
ADEEBA,0,1
ADEEN,0,5
ADEENA,0,1
ADEENE,0,3
ADEHLIA,0,1
ADEINE,0,1
ADEITHA,0,1
ADEK,0,2
ADEL,0.886788648226086,21
ADELA,0.346022154022317,7632
ADELACIA,0,1
ADELADIO,0,1
ADELAH,0,1
ADELAIDE,0.748861469364656,8037
ADELAIDEL,0,1
ADELAIDEO,0,1
ADELAIDO,0,22
ADELAIN,0,1
ADELAITA,0,1
ADELAMARIE,0,1
ADELANE,0,2
ADELARD,0,158
ADELARDO,0,2
ADELASIA,0,1
ADELATDE,0,1
ADELAUDO,0,1
ADELAURA,0,1
ADELAYDE,0,1
ADELBERT,0.135442248158931,406
ADELBERTIN,0,1
ADELBERTO,0,2
ADELBURG,0,1
ADELCA,0,2
ADELCHI,0.635126352878105,7
ADELCHO,0,1
ADELCIA,0,1
ADELCY,0,1
ADELDIA,0,1
ADELE,0.855794790104218,839
ADELEA,0,1
ADELEAN,0.806861047117895,7
ADELEANE,0,1
ADELEDE,0,1
ADELEE,0,8
ADELEEN,0,7
ADELEGRACE,0,1
ADELEH,0,1
ADELEIDE,0,2
ADELEIN,1,1
ADELEINE,0.839280602464756,3
ADELEJEAN,0,1
ADELEL,0,1
ADELEMARIE,0,1
ADELEN,0,2
ADELENA,0.676250695837957,18
ADELENE,0.439859637976402,143
ADELEPHIA,0,1
ADELERMO,0,1
ADELES,0,1
ADELETTE,0,1
ADELEY,0,1
ADELEYA,0,1
ADELFA,0,42
ADELFINA,0,10
ADELFINE,0,1
ADELFIO,0,1
ADELFO,0,3
ADELGISA,0,2
ADELGUNDA,0,1
ADELGUNDE,0,7
ADELHAID,0,1
ADELHAIT,0,1
ADELHEART,0,1
ADELHEID,0,71
ADELHEIDE,0,3
ADELHEIT,0,2
ADELHIA,0,1
ADELIA,0.217838270540398,539
ADELIAD,0,1
ADELIADA,0,1
ADELIADAS,0,1
ADELIAH,0,1
ADELIAIDE,0,1
ADELIANE,0,1
ADELIC,0,1
ADELICE,0,1
ADELICIA,0,6
ADELICIO,0,2
ADELIDA,0.839280602464756,3
ADELIDE,0,2
ADELIE,0.776852934649573,4
ADELIEN,0,1
ADELIENE,0,2
ADELIINE,0,1
ADELIN,0,1
ADELINDA,0.537133435142353,10
ADELINDE,0,1
ADELINDO,0,1
ADELINE,0.301633437698915,7655
ADELING,0,1
ADELINI,0,1
ADELINIE,0,1
ADELINO,0.175695446008544,50
ADELIO,0,5
ADELISCA,0,1
ADELISE,0,2
ADELISIA,0,1
ADELITA,0.676250695837957,6
ADELIZA,0,1
ADELIZIA,0,1
ADELKA,0,1
ADELL,0.982254859961242,63
ADELLAH,0,2
ADELLAIDE,0,1
ADELLAIS,0,1
ADELLAR,1,4
ADELLAS,0,1
ADELLER,1,1
ADELLIA,0,5
ADELLIE,0,1
ADELLINE,0,1
ADELLMA,0,1
ADELLON,0,1
ADELM,0,1
ADELMA,0,46
ADELMAR,0,3
ADELME,0,1
ADELMER,0,1
ADELMIRO,0,1
ADELMO,0,22
ADELMORE,0,1
ADELNA,0,1
ADELNANDO,0,1
ADELNE,0,1
ADELNO,0,1
ADELO,0.776852934649573,4
ADELOIDE,0,1
ADELOISE,0,1
ADELOR,0,7
ADELORD,0,5
ADELORE,0,10
ADELPHA,0,7
ADELPHIA,0,9
ADELPHIES,0,1
ADELPHINA,0,2
ADELPHINE,0,2
ADELPHOS,0,1
ADELRICH,0,2
ADELSA,0,1
ADELSON,0,1
ADELTA,0,3
ADELTHA,0,3
ADELUCIA,1,1
ADELVINE,1,1
ADELYA,0,7
ADELYN,0.10096326251263,94
ADELYNE,0.332147070443851,44
ADELYNN,0,2
ADELYNNE,0,2
ADELZIA,0,1
ADEM,0,2
ADEMAR,0,2
ADEMERE,0,1
ADEMORD,0,1
ADEN,0,6
ADENA,0.526306341439034,52
ADENAGO,0,1
ADENE,0.598717009722856,16
ADENIA,0.91261833712601,4
ADEODAT,0,1
ADEOLE,0.839280602464756,3
ADEOLPH,0,1
ADER,0.830933902700157,25
ADERA,1,1
ADERAE,0,1
ADEREST,1,1
ADERIA,0,1
ADERIAN,0,1
ADERINE,0,7
ADERIS,0,1
ADERITO,0,2
ADERNA,0,1
ADEROLFE,0,1
ADERON,0,1
ADES,0,2
ADESER,1,1
ADESIE,0,1
ADESSA,0,8
ADESSIAH,1,1
ADESTA,0,1
ADESTER,1,1
ADESTIE,0,1
ADETA,0,1
ADETH,0,1
ADETTE,0,1
ADEUS,0,1
ADEVIJE,0,1
ADEZ,0,5
ADEZE,0,1
ADGAR,0,1
