fname,nickname_mpc,sex
MARY,0,2
JOHN,0,1
WILLIAM,0,1
GEORGE,0,1
HENRY,0,1
JAMES,0,1
MARTHA,0,2
SARAH,0,2
CHARLES,0,1
MARGARET,0,2
THOMAS,0,1
JOSEPH,0,1
ELIZABETH,0,2
ANNA,0,2
FRANK,0,1
EMMA,0,2
ANNIE,0,2
PETER,0,1
EDWARD,0,1
ANN,0,2
ROBERT,0,1
WM,1,1
LUCY,0,2
ELLEN,0,2
ELIZA,1,2
SAMUEL,0,1
JANE,0,2
NANCY,0,2
J,0,1
SUSAN,0,2
DAVID,0,1
JULIA,0,2
IDA,0,2
LIZZIE,1,2
ALBERT,0,1
ALICE,0,2
JACOB,0,1
KATE,1,2
MAGGIE,1,2
ELLA,0,2
LOUISA,0,2
DANIEL,0,1
MINNIE,0,2
LAURA,0,2
CAROLINE,0,2
ANDREW,0,1
JENNIE,0,2
CATHERINE,0,2
W,0,1
HANNAH,0,2
CATHARINE,1,2
CLARA,0,2
HARRY,0,1
WILLIE,1,1
M,0,2
MICHAEL,0,1
RICHARD,0,1
WALTER,0,1
MARIA,0,2
PATRICK,0,1
CARRIE,0,2
FRED,1,1
NELLIE,0,2
LOUIS,0,1
LEWIS,0,1
HARRIET,0,2
HATTIE,0,2
CHAS,1,1
REBECCA,0,2
FANNIE,0,2
AMANDA,0,2
ISAAC,0,1
GEO,1,1
ROSA,0,2
A,0,1
SALLIE,0,2
LILLIE,1,2
BENJAMIN,0,1
CORA,0,2
MATILDA,0,2
BRIDGET,0,2
JOSEPHINE,0,2
KATIE,1,2
EMILY,0,2
FREDERICK,0,1
MARTIN,0,1
ARTHUR,0,1
ALFRED,0,1
FRANCIS,0,1
BERTHA,0,2
C,0,1
LYDIA,0,2
MATTIE,0,2
FRANCIS,0,2
SOPHIA,0,2
H,0,1
MARGRET,0,2
FLORENCE,0,2
AMELIA,0,2
RACHEL,0,2
LENA,0,2
EVA,0,2
DORA,0,2
THOS,1,1
EDWIN,0,1
ADA,0,2
FRANCES,0,2
FANNY,0,2
E,0,2
E,0,1
ELISABETH,1,2
AUGUST,0,1
ALEXANDER,0,1
JOE,1,1
AGNES,0,2
LUCINDA,0,2
MAY,0,2
STEPHEN,0,1
JAS,1,1
CHARLOTTE,0,2
R,0,1
ROSE,0,2
FLORA,0,2
FRANKLIN,0,1
G,0,1
M,0,1
S,0,1
A,0,2
GRACE,0,2
JNO,1,1
S,0,2
NETTIE,0,2
JESSE,0,1
CHARLEY,1,1
HENRIETTA,0,2
BARBARA,0,2
ADAM,0,1
EUGENE,0,1
ROBT,1,1
L,0,2
L,0,1
MOLLIE,0,2
F,0,1
OSCAR,0,1
HERMAN,0,1
EDITH,0,2
FREDRICK,0,1
D,0,1
SAM,1,1
JESSIE,1,2
PHILIP,0,1
AUGUSTA,0,2
T,0,1
MOSES,0,1
LOUISE,0,2
MAUD,0,2
HELEN,0,2
VIRGINIA,0,2
NORA,0,2
HUGH,0,1
OLIVER,0,1
CHARLIE,1,1
GERTRUDE,0,2
ALLEN,0,1
B,0,1
ADDIE,0,2
BETTIE,0,2
LEVI,0,1
HIRAM,0,1
EDDIE,0,1
CLARENCE,0,1
MARIAH,0,2
ELMER,0,1
DELIA,0,2
HERBERT,0,1
ISABELLA,0,2
EDGAR,0,1
THEODORE,0,1
WILLIS,0,1
LULA,0,2
NATHAN,0,1
C,0,2
JOHANNA,0,2
RUTH,0,2
PAUL,0,1
BESSIE,1,2
CHRISTIAN,0,1
SALLY,0,2
HOWARD,0,1
DENNIS,0,1
BELLE,0,2
NANNIE,0,2
ABRAHAM,0,1
HARVEY,0,1
NELSON,0,1
ALLICE,1,2
OLIVE,0,2
JULIUS,0,1
ANNE,0,2
ERNEST,0,1
AMOS,0,1
IRA,0,1
MALINDA,0,2
SIMON,0,1
ALEX,0,1
ESTHER,0,2
CALVIN,0,1
SAML,1,1
HARRIETT,0,2
PHILLIP,0,1
AARON,0,1
CHRISTINA,0,2
BEN,1,1
MILTON,0,1
LILLY,1,2
LEE,0,1
HORACE,0,1
MABEL,0,2
CORNELIA,0,2
WESLEY,0,1
LOTTIE,0,2
PHEBE,0,2
EFFIE,1,2
ETTA,0,2
BENJ,1,1
J,0,2
CARL,0,1
POLLY,0,2
AUGUSTUS,0,1
WARREN,0,1
P,0,1
OTTO,0,1
TIMOTHY,0,1
ANTHONY,0,1
CORNELIUS,0,1
ALONZO,0,1
MARIE,0,2
NICHOLAS,0,1
ELI,0,1
JERRY,0,1
CELIA,0,2
CATHRINE,1,2
ELIJAH,0,1
HELLEN,1,2
SILAS,0,1
DELLA,0,2
LUTHER,0,1
HESTER,0,2
ADALINE,0,2
MATHEW,1,1
ELIAS,0,1
JOSHUA,0,1
ABRAM,0,1
EDNA,0,2
GEORGIA,0,2
MARGARETT,1,2
AH,0,1
JACK,0,1
ELIZEBETH,1,2
AMY,0,2
JESSIE,0,1
STELLA,0,2
BETSY,0,2
RUFUS,0,1
BELL,0,2
JEREMIAH,0,1
ABBIE,1,2
MORRIS,0,1
SUSIE,1,2
TOM,1,1
LOU,0,2
MILLIE,0,2
MARION,0,1
CHRISTOPHER,0,1
VIOLA,0,2
LAWRENCE,0,1
BERNARD,0,1
JOS,1,1
PERRY,0,1
ANGELINE,0,2
RHODA,0,2
LEONARD,0,1
VICTORIA,0,2
JACKSON,0,1
JOSIAH,0,1
N,0,1
SOLOMON,0,1
WILSON,0,1
ED,0,1
H,0,2
RACHAEL,1,2
EMELINE,0,2
RALPH,0,1
JIM,1,1
MAMIE,0,2
PAULINE,0,2
LILLIAN,0,2
REUBEN,0,1
THERESA,0,2
MINERVA,0,2
BETSEY,1,2
LULU,0,2
N,0,2
HARRISON,0,1
GILBERT,0,1
R,0,2
NOAH,0,1
ADOLPH,0,1
JOSIE,0,2
JOEL,0,1
ADELINE,0,2
F,0,2
OWEN,0,1
CYRUS,0,1
JASPER,0,1
CONRAD,0,1
SIDNEY,0,1
MARK,0,1
EDMUND,0,1
JEFFERSON,0,1
NATHANIEL,0,1
WASHINGTON,0,1
MINA,0,2
ALMA,0,2
NEWTON,0,1
OLE,0,1
ANTON,0,1
O,0,1
CHARITY,0,2
ESTELLA,0,2
ISABEL,0,2
JENNY,0,2
BLANCHE,0,2
ELVIRA,0,2
