fname,fname_std,nickname_mpc,sex
MARY,MARY,0,2
JOHN,JOHN,0,1
WILLIAM,WILLIAM,0,1
GEORGE,GEORGE,0,1
HENRY,HENRY,0,1
JAMES,JAMES,0,1
MARTHA,MARTHA,0,2
SARAH,SARAH,0,2
CHARLES,CHARLES,0,1
THOMAS,THOMAS,0,1
JOSEPH,JOSEPH,0,1
ELIZABETH,ELIZABETH,0,2
ANNA,ANNA,0,2
FRANK,FRANK,0,1
EMMA,EMMA,0,2
ANNIE,ANNIE,0,2
PETER,PETER,0,1
EDWARD,EDWARD,0,1
ANN,ANN,0,2
ROBERT,ROBERT,0,1
WM,WILLIAM,1,1
LUCY,LUCY,0,2
ELLEN,ELLEN,0,2
ELIZA,ELIZABETH,1,2
SAMUEL,SAMUEL,0,1
JANE,JANE,0,2
NANCY,NANCY,0,2
J,J,0,1
SUSAN,SUSAN,0,2
DAVID,DAVID,0,1
JULIA,JULIA,0,2
IDA,IDA,0,2
LIZZIE,ELIZABETH,1,2
ALBERT,ALBERT,0,1
ALICE,ALICE,0,2
JACOB,JACOB,0,1
KATE,CATHERINE,1,2
MAGGIE,MARGARET,1,2
ELLA,ELLA,0,2
LOUISA,LOUISA,0,2
DANIEL,DANIEL,0,1
MINNIE,WILHELMINA,0,2
LAURA,LAURA,0,2
CAROLINE,CAROLINE,0,2
ANDREW,ANDREW,0,1
JENNIE,JENNIFER,0,2
CATHERINE,CATHERINE,0,2
W,W,0,1
HANNAH,HANNAH,0,2
CATHARINE,CATHERINE,1,2
CLARA,CLARA,0,2
HARRY,HENRY,0,1
WILLIE,WILLIAM,1,1
M,M,0,2
MICHAEL,MICHAEL,0,1
RICHARD,RICHARD,0,1
WALTER,WALTER,0,1
MARIA,MARIA,0,2
PATRICK,PATRICK,0,1
CARRIE,CAROLINE,0,2
FRED,FREDERICK,1,1
NELLIE,NELLIE,0,2
LOUIS,LOUIS,0,1
LEWIS,LEWIS,0,1
HARRIET,HARRIET,0,2
HATTIE,HARRIET,0,2
CHAS,CHARLES,1,1
REBECCA,REBECCA,0,2
FANNIE,FRANCES,0,2
AMANDA,AMANDA,0,2
ISAAC,ISAAC,0,1
GEO,GEORGE,1,1
ROSA,ROSA,0,2
A,A,0,1
SALLIE,SALLIE,0,2
LILLIE,LILLIAN,1,2
BENJAMIN,BENJAMIN,0,1
CORA,CORA,0,2
MATILDA,MATILDA,0,2
BRIDGET,BRIDGET,0,2
JOSEPHINE,JOSEPHINE,0,2
KATIE,CATHERINE,1,2
EMILY,EMILY,0,2
FREDERICK,FREDERICK,0,1
MARTIN,MARTIN,0,1
ARTHUR,ARTHUR,0,1
ALFRED,ALFRED,0,1
FRANCIS,FRANCIS,0,1
BERTHA,BERTHA,0,2
C,C,0,1
LYDIA,LYDIA,0,2
