fname,fname_std,sex,source
A  S,MARSHALL,1,ABE
AANN,ANNE,2,MPC
AANNA,ANNA,2,MPC
AARAN,AARON,1,ABE
AB,ABRAHAM,1,MPC
ABA,ABIGAIL,2,MPC
ABAGAIL,ABIGAIL,2,MPC
ABAGAL,ABIGAIL,2,MPC
ABAGIL,ABIGAIL,2,MPC
ABAGILL,ABIGAIL,2,MPC
ABB,ABRAHAM,1,ABE
ABBA,ABIGAIL,2,MPC
ABBE,ABIGAIL,2,MPC
ABBEY,ABIGAIL,2,MPC
ABBIE,ABIGAIL,2,MPC
ABBIGAIL,ABIGAIL,2,ABE
ABBIGAL,ABIGAIL,2,ABE
ABBY,ABIGAIL,2,MPC
ABE,ABRAHAM,1,MPC
ABEGAIL,ABIGAIL,2,ABE
ABERHAM,ABRAHAM,1,MPC
ABERT,ALBERT,1,MPC
ABEY,ABIGAIL,2,MPC
ABI,ABIGAIL,2,MPC
ABIAH,ABIJAH,2,ABE
ABIAL,ABIEL,1,ABE
ABIE,ABIGAIL,2,MPC
ABIGAL,ABIGAIL,2,MPC
ABIGALE,ABIGAIL,2,MPC
ABIGIAL,ABIGAIL,2,MPC
ABIGIL,ABIGAIL,2,MPC
ABIGILL,ABIGAL,2,MPC
ABLE,ABEL,1,MPC
ABM,ABRAHAM,1,MPC
ABR,ABRAHAM,1,MPC
ABRA,ABRAHAM,1,MPC
ABRAH,ABRAHAM,1,MPC
ABRAHAN,ABRAHAM,1,ABE
ABRAHM,ABRAHAM,1,MPC
ABRAM,MARSHALL,1,ABE
ABREHAM,ABRAHAM,1,MPC
ABRHAM,ABRAHAM,1,MPC
ABRIHAM,ABRAHAM,1,ABE
ABRM,ABRAHAM,1,MPC
ABROM,ABRAM,1,ABE
ABRUM,ABRAM,1,ABE
ABSALUM,ABSALOM,1,ABE
ABSLOM,ABSALOM,1,ABE
ABSOLAM,ABSALOM,1,ABE
ABSOLEM,ABSALOM,1,ABE
ABSOLOM,ABSALOM,1,ABE
ABY,ABIGAIL,2,MPC
ACHILLE,ACHILLES,1,ABE
ADAH,ADA,2,ABE
ADALADE,ADELAIDE,2,MPC
ADALAID,ADELAIDE,2,MPC
ADALAIDE,ADELAIDE,2,MPC
ADALBERT,ADELBERT,1,MPC
ADALIN,ADELINE,2,MPC
ADALINA,ADELINE,2,ABE
ADALINE,ADELINE,2,ABE
ADAMS,ADAM,1,ABE
ADD,ADA,2,MPC
ADDALINE,ADELINE,2,ABE
ADDAM,ADAM,1,ABE
ADDELINE,ADELINE,2,ABE
ADDELLA,ADELA,2,ABE
ADDIE,ADELAIDE,1,ABE
ADDIE,ADELAIDE,2,ABE
ADDY,ADELAIDE,2,ABE
ADEBERT,ADELBERT,1,MPC
ADEL,ADELE,2,MPC
ADELADE,ADELAIDE,2,MPC
ADELAID,ADELAIDE,2,MPC
ADELAIDA,ADELAIDE,2,ABE
ADELAINE,ADELINE,2,ABE
ADELE,ADELA,2,ABE
ADELIN,ADELINE,2,MPC
ADELINA,ADELINE,2,ABE
ADELL,ADELE,2,MPC
ADELLA,ADELA,2,ABE
ADELLE,ADELA,2,ABE
ADEN,AIDAN,1,MPC
ADIE,ADELAIDE,1,ABE
ADIE,ADELAIDE,2,ABE
ADILADE,ADELAIDE,2,MPC
ADILE,ODELIA,2,ABE
ADILIA,ODELIA,2,ABE
ADILINE,ADELINE,2,MPC
ADISON,ADDISON,1,MPC
ADLADE,ADELAIDE,2,MPC
ADLAID,ADELAIDE,2,MPC
ADLAIDE,ADELAIDE,2,MPC
ADLINE,ADELINE,2,MPC
ADNA,EDNA,2,ABE
ADOLF,ADOLPH,1,MPC
ADOLFO,ADOLPH,1,ABE
ADOLFUS,ADOLPH,1,ABE
ADOLINE,ADELINE,2,ABE
ADOLP,ADOLPH,1,MPC
ADOLPHAS,ADOLPH,1,ABE
ADOLPHE,ADOLPH,1,ABE
ADOLPHIS,ADOLPH,1,ABE
ADOLPHO,ADOLPH,1,ABE
ADOLPHUS,ADOLPH,1,ABE
ADOLPUS,ADOLPHUS,1,MPC
ADOPH,ADOLPH,1,MPC
ADRAIN,ADRIAN,1,MPC
ADREW,ANDREW,1,MPC
ADRIAN,ADRIENNE,2,MPC
ADRIANNA,ADRIANA,2,ABE
ADRIEN,ADRIAN,1,ABE
AFRED,ALFRED,1,MPC
AGA,AGATHA,2,MPC
AGATA,AGATHA,2,MPC
AGATHE,AGATHA,2,MPC
AGELINE,ANGELINE,2,MPC
AGGIE,AGNES,2,MPC
AGNAS,AGNES,2,ABE
AGNESE,AGNES,2,ABE
AGNESS,AGNES,2,MPC
AGNUS,AGNES,2,MPC
AGUST,AUGUST,1,MPC
AGUSTA,AUGUSTA,2,MPC
AGUSTA,AUGUSTUS,1,MPC
AGUSTAS,AUGUSTUS,1,MPC
AGUSTIA,AUGUSTA,2,MPC
AGUSTIN,AUGUSTINE,1,MPC
AGUSTINA,AUGUSTINA,2,MPC
AGUSTINE,AUGUSTUS,1,ABE
AGUSTUS,AUGUSTUS,1,MPC
AILCY,ELIZABETH,2,ABE
AILSIE,ELIZABETH,2,ABE
AIME,AMY,2,MPC
AIMIE,AMY,2,MPC
AIMY,AMY,2,MPC
AL,ALYSSA,2,MPC
ALAC,ALEXANDER,1,MPC
ALACE,ALICE,2,ABE
ALANZO,ALONZO,1,ABE
ALAX,ALEXANDER,1,MPC
ALAXANDER,ALEXANDER,1,MPC
ALBERT,ALBERTA,2,ABE
ALBERTENA,ALBERTA,2,ABE
ALBERTHA,ALBERTA,2,ABE
ALBERTIA,ALBERTA,2,ABE
ALBERTIE,ALBERTA,2,ABE
ALBERTINA,ALBERTA,2,ABE
ALBERTINE,ALBERTA,2,ABE
ALBERTIS,ALBERT,1,ABE
ALBERTO,ALBERT,1,ABE
ALBERTUS,ALBERT,1,ABE
ALBET,ALBERT,1,MPC
ALBON,ALBION,1,ABE
ALBRECHT,ALBERT,1,ABE
ALBRT,ALBERT,1,MPC
ALBT,ALBERT,1,MPC
ALBURT,ALBERT,1,MPC
ALBURTIS,ALBERT,1,ABE
ALBURTUS,ALBERT,1,ABE
ALCEY,ELIZABETH,2,ABE
ALCY,ALICE,2,ABE
ALEC,ALEXANDER,1,MPC
ALECIA,ALICIA,2,ABE
ALECK,ALEXANDER,1,MPC
ALEK,ALEXANDER,1,MPC
ALEN,ALLEN,1,MPC
ALENA,MAGDALENA,2,ABE
ALENZO,ALONZO,1,ABE
ALETHA,ALETHEA,2,ABE
ALEX,ALEXANDER,1,ABE
ALEXAN,ALEXANDER,1,MPC
ALEXAND,ALEXANDER,1,MPC
ALEXANDER,ALEXANDRIA,2,ABE
ALEXANDERJR,ALEXANDER,1,ABE
ALEXANDRE,ALEXANDER,1,MPC
ALEXANDREW,ALEXANDER,1,ABE
